Location,Year,Life_Exp
India,2000,62.505
India,2001,62.907
India,2002,63.304
India,2003,63.699
India,2004,64.095
India,2005,64.5
India,2006,64.918
India,2007,65.35
India,2008,65.794
India,2009,66.244
India,2010,66.693
India,2011,67.13
India,2012,67.545
India,2013,67.931
India,2014,68.286
India,2015,68.607
India,2016,68.897
India,2017,69.165
India,2018,69.416
India,2019,69.656
India,2020,69.887
World,2000,67.54896003
World,2001,67.8217449
World,2002,68.07014019
World,2003,68.32601818
World,2004,68.6525098
World,2005,68.92021195
World,2006,69.26229064
World,2007,69.5915489
World,2008,69.89951482
World,2009,70.24645381
World,2010,70.55669028
World,2011,70.88401703
World,2012,71.17329899
World,2013,71.46586441
World,2014,71.74605473
World,2015,71.95211472
World,2016,72.18623
World,2017,72.39169867
World,2018,72.57441451
World,2019,72.76322287
World,2020,72.74791908
Germany,2000,77.92682927
Germany,2001,78.32926829
Germany,2002,78.22926829
Germany,2003,78.3804878
Germany,2004,78.6804878
Germany,2005,78.93170732
Germany,2006,79.13170732
Germany,2007,79.53414634
Germany,2008,79.73658537
Germany,2009,79.83658537
Germany,2010,79.98780488
Germany,2011,80.43658537
Germany,2012,80.53902439
Germany,2013,80.4902439
Germany,2014,81.0902439
Germany,2015,80.64146341
Germany,2016,80.9902439
Germany,2017,80.99268293
Germany,2018,80.89268293
Germany,2019,81.29268293
Germany,2020,80.94146341
United Kingdom,2000,77.74146341
United Kingdom,2001,77.99268293
United Kingdom,2002,78.14390244
United Kingdom,2003,78.44634146
United Kingdom,2004,78.74634146
United Kingdom,2005,79.04878049
United Kingdom,2006,79.24878049
United Kingdom,2007,79.44878049
United Kingdom,2008,79.6
United Kingdom,2009,80.05121951
United Kingdom,2010,80.40243902
United Kingdom,2011,80.95121951
United Kingdom,2012,80.90487805
United Kingdom,2013,81.00487805
United Kingdom,2014,81.30487805
United Kingdom,2015,80.95609756
United Kingdom,2016,81.15609756
United Kingdom,2017,81.25609756
United Kingdom,2018,81.25609756
United Kingdom,2019,81.20487805
United Kingdom,2020,80.90243902
United States,2000,76.63658537
United States,2001,76.83658537
United States,2002,76.93658537
United States,2003,77.03658537
United States,2004,77.48780488
United States,2005,77.48780488
United States,2006,77.68780488
United States,2007,77.98780488
United States,2008,78.03902439
United States,2009,78.3902439
United States,2010,78.54146341
United States,2011,78.64146341
United States,2012,78.74146341
United States,2013,78.74146341
United States,2014,78.84146341
United States,2015,78.6902439
United States,2016,78.53902439
United States,2017,78.53902439
United States,2018,78.63902439
United States,2019,78.78780488
United States,2020,77.2804878
